t, value
842, 12031
843, 11772
844, 11865
845, 12004
846, 10103
847, 10295
848, 10290
849, 10204
850, 10370
851, 10009
852, 10070
853, 10122
854, 10264
855, 10064
856, 10075
857, 10275
858, 10272
859, 10037
860, 9976
861, 9766
862, 10214
863, 9708
864, 10177
865, 10255
866, 9895
867, 10064
868, 9978
869, 10037
870, 9733
871, 9950
872, 9896
873, 10106
874, 10053
875, 9743
876, 9793
877, 9577
878, 9608
879, 9926
880, 9524
881, 9559
882, 9564
883, 9427
884, 9689
885, 9652
886, 10303
887, 12806
888, 11234
889, 11573
890, 11577
891, 11274
892, 11382
893, 11692
894, 11554
895, 10754
896, 9686
897, 9811
898, 9398
899, 9496
900, 9787
901, 9763
902, 9935
903, 9980
904, 10903
905, 11723
906, 11796
907, 11881
908, 11827
909, 11617
910, 11794
911, 11709
912, 11996
913, 11862
914, 11901
915, 12001
916, 11898
917, 11873
918, 11933
919, 12259
920, 11750
921, 11894
922, 11584
923, 12014
924, 12250
925, 11893
926, 11940
927, 11860
928, 11810
929, 11835
930, 11926
931, 11742
932, 11381
933, 11323
934, 11581
935, 11269
936, 11624
937, 11877
938, 11882
939, 11004
940, 10024
941, 9906
942, 10111
943, 9846
944, 9913
945, 9768
946, 9825
947, 10130
948, 10125
949, 10162
950, 9999
951, 9768
952, 10038
953, 10384
954, 11724
955, 12285
956, 11463
957, 11364
958, 11787
959, 11198
960, 11248
961, 9316
962, 9572
963, 9755
964, 9731
965, 9715
966, 9689
967, 9437
968, 9215
969, 9461
970, 9419
971, 9638
972, 9604
973, 9165
974, 9463
975, 9289
976, 9205
977, 9514
978, 10229
979, 11921
980, 11417
981, 11540
982, 11845
983, 11696
984, 11867
985, 11725
986, 12021
987, 12123
988, 11526
989, 11638
990, 11447
991, 11601
992, 11859
993, 11471
994, 10588
995, 9549
996, 9569
997, 9594
998, 7691
999, 7717
1000, 7723
1001, 7778
1002, 7816
1003, 7929
1004, 7825
1005, 7694
1006, 8786
1007, 9579
1008, 8274
1009, 7788
1010, 7727
1011, 7684
1012, 7658
1013, 7837
1014, 7791
1015, 7653
1016, 7930
1017, 7744
1018, 7840
1019, 7781
1020, 7781
1021, 7806
1022, 7804
1023, 7755
1024, 8129
1025, 7989
1026, 7910
1027, 7864
1028, 7817
1029, 7878
1030, 7953
1031, 7807
1032, 7820
1033, 8594
1034, 9431
1035, 9540
1036, 9611
1037, 9823
1038, 9948
1039, 9775
1040, 10636
1041, 11632
1042, 11291
1043, 11260
1044, 11240
1045, 11820
1046, 11150
1047, 9967
1048, 9632
1049, 9814
1050, 9561
1051, 8892
1052, 7515
1053, 7768
1054, 7654
1055, 7733
1056, 7779
1057, 7660
1058, 7728
1059, 7713
1060, 9766
1061, 10455
1062, 11648
1063, 11331
1064, 11513
1065, 11319
1066, 11306
1067, 9660
1068, 9649
1069, 9526
1070, 9572
1071, 9459
1072, 10351
1073, 10214
1074, 10978
1075, 9720
1076, 9480
1077, 9541
1078, 9934
1079, 9667
1080, 9419
1081, 9608
1082, 9621
1083, 9859
1084, 9705
1085, 9820
1086, 9669
1087, 9538
1088, 9980
1089, 9613
1090, 9882
1091, 9635
1092, 9552
1093, 7900
1094, 7835
1095, 7711
1096, 7682
1097, 7590
1098, 7575
1099, 9240
1100, 9473
1101, 9503
1102, 9412
1103, 9581
1104, 9784
1105, 9812
1106, 9680
1107, 9656
1108, 9706
1109, 9883
1110, 9784
1111, 9776
1112, 9870
1113, 9704
1114, 9788
1115, 9597
1116, 9960
1117, 9913
1118, 9651
1119, 9868
1120, 9866
1121, 9848
1122, 9937
1123, 9656
1124, 10081
1125, 9809
1126, 9583
1127, 9860
1128, 9549
1129, 9731
1130, 10602
1131, 11329
1132, 11260
1133, 11418
1134, 11415
1135, 9938
1136, 9444
1137, 9640
1138, 9617
1139, 9578
1140, 9545
1141, 9720
1142, 9633
1143, 9159
1144, 9543
1145, 9276
1146, 9331
1147, 9649
1148, 9561
1149, 9375
1150, 9519
1151, 9469
1152, 9432
1153, 9871
1154, 11214
1155, 11303
1156, 11266
1157, 11380
1158, 11376
1159, 11467
1160, 12280
1161, 12374
1162, 11169
1163, 11366
1164, 11330
1165, 11342
1166, 11509
1167, 11246
1168, 11389
1169, 11241
1170, 11468
1171, 11345
1172, 11383
1173, 11445
1174, 11250
1175, 11562
1176, 11557
1177, 11512
1178, 10994
1179, 11410
1180, 11656
1181, 11473
1182, 11668
1183, 11829
1184, 11640
1185, 11502
1186, 11464
1187, 12980
1188, 13057
1189, 11550
1190, 11460
1191, 11594
1192, 11554
1193, 11820
1194, 11375
1195, 11686
1196, 11800
1197, 11508
1198, 11693
1199, 11468
1200, 10293
1201, 9560
1202, 9748
1203, 9398
1204, 9425
1205, 10164
1206, 11334
1207, 11327
1208, 11223
1209, 10886
1210, 10935
1211, 10918
1212, 11172
1213, 12727
1214, 10774
1215, 9344
1216, 9305
1217, 9170
1218, 9319
1219, 9361
1220, 9528
1221, 9160
1222, 9375
1223, 9273
1224, 9464
1225, 9399
1226, 9304
1227, 9372
1228, 9399
1229, 9243
1230, 9394
1231, 9040
1232, 9333
1233, 8343
1234, 7640
1235, 7332
1236, 7711
1237, 9387
1238, 9172
1239, 9452
1240, 9351
1241, 9570
1242, 10264
1243, 11096
1244, 11603
1245, 13177
1246, 13747
1247, 13605
1248, 13344
1249, 13638
1250, 13614
1251, 13048
1252, 11309
1253, 11278
1254, 11461
1255, 11670
1256, 11612
1257, 11447
1258, 11334
1259, 11593
1260, 10312
1261, 11732
1262, 10494
1263, 10863
1264, 10728
1265, 10714
1266, 11776
1267, 12600
1268, 12944
1269, 13800
1270, 12495
1271, 12535
1272, 12749
1273, 12710
1274, 12452
1275, 12874
1276, 12807
1277, 12932
1278, 11839
1279, 10956
1280, 11011
1281, 10500
1282, 9412
1283, 9230
1284, 9466
1285, 9331
1286, 9268
1287, 9153
1288, 9284
1289, 9402
1290, 9440
1291, 9432
1292, 9379
1293, 11359
1294, 11403
1295, 11577
1296, 11842
1297, 11786
1298, 11446
1299, 11831
1300, 11407
1301, 11497
1302, 11687
1303, 11653
1304, 10297
1305, 9701
1306, 9724
1307, 9273
1308, 9354
1309, 9399
1310, 9517
1311, 9549
1312, 9644
1313, 9556
1314, 9671
1315, 9512
1316, 9470
1317, 9539
1318, 9463
1319, 9005
1320, 9377
1321, 9357
1322, 9347
1323, 9564
1324, 9688
1325, 9755
1326, 9435
1327, 9405
1328, 9486
1329, 11111
1330, 11381
1331, 11568
1332, 11330
1333, 11531
1334, 11478
1335, 11646
1336, 11558
1337, 11602
1338, 11718
1339, 10923
1340, 9832
1341, 9588
1342, 8372
1343, 7889
1344, 7766
1345, 7554
1346, 8842
1347, 7581
1348, 7679
1349, 7874
1350, 7682
1351, 7727
1352, 8044
1353, 7880
1354, 7656
1355, 7639
1356, 7519
1357, 7545
1358, 7768
1359, 7668
1360, 8082
1361, 9341
1362, 8090
1363, 7606
1364, 7743
1365, 7888
1366, 7499
1367, 7486
1368, 7986
1369, 7688
1370, 7719
1371, 7868
1372, 9430
1373, 9283
1374, 9410
1375, 9388
1376, 9596
1377, 9220
1378, 9452
1379, 9536
1380, 9563
1381, 8944
1382, 9198
1383, 9263
1384, 9511
1385, 9129
1386, 9434
1387, 9306
1388, 9529
1389, 9389
1390, 9514
1391, 9527
1392, 9434
1393, 9372
1394, 9576
1395, 9358
1396, 9272
1397, 9011
1398, 9264
1399, 9312
1400, 9280
1401, 9267
1402, 9224
1403, 9087
1404, 9338
1405, 9070
1406, 9395
1407, 9387
1408, 10883
1409, 10304
1410, 9112
1411, 9014
1412, 9280
1413, 9147
1414, 9094
1415, 9292
1416, 10920
1417, 10675
1418, 10792
1419, 10709
1420, 10829
1421, 10800
1422, 10961
1423, 10922
1424, 10598
1425, 10781
1426, 10805
1427, 11132
1428, 11021
1429, 11749
1430, 11491
1431, 11736
1432, 11663
1433, 10242
1434, 9427
1435, 9480
1436, 9425
1437, 9516
1438, 9421
1439, 9127
1440, 9315
1441, 9258
1442, 9177
1443, 9141
1444, 8894
1445, 9546
1446, 9507
1447, 9121
1448, 9453
1449, 9215
1450, 9407
1451, 8555
1452, 8139
1453, 7919
1454, 9581
1455, 9437
1456, 9675
1457, 9607
1458, 9449
1459, 9603
1460, 9702
1461, 7768
1462, 7724
1463, 7936
1464, 7737
1465, 7938
1466, 7748
1467, 7929
1468, 8136
1469, 7812
1470, 8007
1471, 7769
1472, 7731
1473, 8087
1474, 8028
1475, 7981
1476, 7747
1477, 7747
1478, 8130
1479, 9315
1480, 9503
1481, 9318
1482, 9198
1483, 9497
1484, 9719
1485, 9264
1486, 9809
1487, 10710
1488, 10509
1489, 10839
1490, 9668
1491, 9174
1492, 9355
1493, 9083
1494, 7825
1495, 7791
1496, 7821
1497, 7777
1498, 7676
1499, 9181
1500, 9326
1501, 9405
1502, 9131
1503, 9345
1504, 9436
1505, 9744
1506, 9557
1507, 9471
1508, 9669
1509, 10974
1510, 10778
1511, 9799
1512, 9897
1513, 9962
1514, 9760
1515, 9029
1516, 7906
1517, 8025
1518, 7973
1519, 7844
1520, 7847
1521, 7764
1522, 7746
1523, 7596
1524, 7509
1525, 7628
1526, 7621
1527, 7689
1528, 7774
1529, 7645
1530, 8100
1531, 9265
1532, 9233
1533, 9005
1534, 9075
1535, 9222
1536, 9186
1537, 9014
1538, 9197
1539, 9115
1540, 9232
1541, 9269
1542, 9152
1543, 9111
1544, 9853
1545, 10509
1546, 8946
1547, 7798
1548, 7721
1549, 7921
1550, 9190
1551, 9276
1552, 9147
1553, 9068
1554, 9081
1555, 8821
1556, 8464
1557, 7891
1558, 8645
1559, 8923
1560, 7749
1561, 7819
1562, 7950
1563, 7722
1564, 7734
1565, 7669
1566, 7918
1567, 7834
1568, 7593
1569, 9093
1570, 9205
1571, 9518
1572, 9274
1573, 9429
1574, 9334
1575, 9333
1576, 9156
1577, 9092
1578, 8972
1579, 9301
1580, 9273
1581, 9323
1582, 9385
1583, 9103
1584, 9348
1585, 9301
1586, 9413
1587, 9423
1588, 9191
1589, 9559
1590, 9954
1591, 9731
1592, 9563
1593, 9273
1594, 10763
1595, 10948
1596, 10626
1597, 10504
1598, 9642
1599, 9311
1600, 9211
1601, 9220
1602, 9171
1603, 9316
1604, 9056
1605, 9072
1606, 9021
1607, 8993
1608, 9149
1609, 9367
1610, 9322
1611, 10446
1612, 10651
1613, 9854
1614, 9508
1615, 9424
1616, 9658
1617, 9525
1618, 9628
1619, 9268
1620, 9163
1621, 9346
1622, 9185
1623, 8291
1624, 7625
1625, 7978
1626, 7797
1627, 7710
1628, 8044
1629, 7694
1630, 7935
1631, 7633
1632, 7657
1633, 7584
1634, 7781
1635, 7733
1636, 7801
1637, 7593
1638, 7508
1639, 7600
1640, 7591
1641, 7553
1642, 7854
1643, 7720
1644, 7712
1645, 7565
1646, 7815
1647, 7659
1648, 8770
1649, 8691
1650, 8988
1651, 9092
1652, 9268
1653, 9099
1654, 9440
1655, 9601
1656, 9661
1657, 9840
1658, 9676
1659, 10006
1660, 9613
1661, 9654
1662, 9571
1663, 9518
1664, 9164
1665, 9230
1666, 11089
1667, 11457
1668, 11395
1669, 11752
1670, 10668
1671, 11096
1672, 11160
1673, 10971
1674, 10990
1675, 11361
1676, 11647
1677, 11624
1678, 9739
1679, 9372
1680, 9613
1681, 10534
1682, 11161
1683, 10900
1684, 11143
1685, 10815
1686, 9178
1687, 9336
1688, 8719
1689, 7732
1690, 7571
1691, 7939
1692, 7669
1693, 7638
1694, 7557
1695, 7752
1696, 7846
1697, 7726
1698, 7666
1699, 7783
1700, 8615
1701, 9564
1702, 9578
1703, 9509
1704, 11038
1705, 10902
1706, 11084
1707, 11679
1708, 11632
1709, 11527
1710, 11313
1711, 11183
1712, 11780
1713, 11548
1714, 11553
1715, 12039
1716, 12251
1717, 11460
1718, 10247
1719, 9628
1720, 10055
1721, 10986
1722, 9707
1723, 9650
1724, 9771
1725, 11539
1726, 12981
1727, 13708
1728, 13646
1729, 12407
1730, 11188
1731, 10778
1732, 11132
1733, 10817
1734, 10839
1735, 9324
1736, 9406
1737, 9329
1738, 10069
1739, 11398
1740, 11059
1741, 11765
1742, 11197
1743, 11448
1744, 10991
1745, 11396
1746, 11211
1747, 11325
1748, 10943
1749, 10560
1750, 10630
1751, 10947
1752, 12516
1753, 12784
1754, 12658
1755, 12297
1756, 11025
1757, 10681
1758, 11125
1759, 11018
1760, 10387
1761, 9161
1762, 9109
1763, 9580
1764, 9840
1765, 9676
1766, 9530
1767, 9376
1768, 9502
1769, 11094
1770, 10994
1771, 11001
1772, 10999
1773, 10947
1774, 11161
1775, 11088
1776, 9430
1777, 9139
1778, 10407
1779, 10990
1780, 10608
1781, 10701
1782, 10685
1783, 10693
1784, 10917
1785, 10543
1786, 10199
1787, 9260
1788, 8617
1789, 7862
1790, 7968
1791, 9677
1792, 9644
1793, 9756
1794, 11450
1795, 11739
1796, 10995
1797, 11638
1798, 9581
1799, 8166
1800, 9387
1801, 9370
1802, 9576
1803, 9604
1804, 9602
1805, 8274
1806, 7662
1807, 7980
1808, 7623
1809, 9373
1810, 9309
1811, 10589
1812, 11190
1813, 10848
1814, 10877
1815, 11522
1816, 11252
1817, 9757
1818, 9717
1819, 9586
1820, 9693
1821, 9474
1822, 9661
1823, 9765
1824, 9487
1825, 9579
1826, 9379
1827, 9137
1828, 9383
1829, 9268
1830, 9004
1831, 9405
1832, 9370
1833, 9388
1834, 9327
1835, 9436
1836, 9513
1837, 10464
1838, 9675
1839, 9567
1840, 10030
1841, 11851
1842, 11224
1843, 11459
1844, 10901
1845, 10170
1846, 7702
1847, 7666
1848, 8023
1849, 7648
1850, 7523
1851, 7645
1852, 7693
1853, 8486
1854, 9121
1855, 7614
1856, 7756
1857, 7839
1858, 7684
1859, 7484
1860, 7502
1861, 9288
